tau,time_s,x,z_m,P_Pa,P_bar,T_K,u_m_s,rho_g_kg_m3,y_N2,q_N2_mol_kg,qstar_N2_mol_kg,Pi_N2_bar,y_H2,q_H2_mol_kg,qstar_H2_mol_kg,Pi_H2_bar,y_NH3,q_NH3_mol_kg,qstar_NH3_mol_kg,Pi_NH3_bar,sum_y
0.0,0.0,0.5,0.5,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.525,0.525,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.55,0.55,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.575,0.575,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.6,0.6,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.625,0.625,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.65,0.65,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.675,0.675,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.7,0.7,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.725,0.725,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.75,0.75,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.775,0.775,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.8,0.8,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.825,0.825,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.85,0.85,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.875,0.875,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.9,0.9,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.925,0.925,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,0.95,0.95,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.02352719854729901,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.0,0.0,0.975,0.975,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.00047054397094597984,1e-05,1.0
0.0,0.0,1.0,1.0,1000000.0,10.0,473.15,1.000000005,2.1645401666780226,0.25,0.02352719854729901,0.023527198547299007,2.5,0.749999,0.017645375383275708,0.01764537538327571,7.49999,1e-06,0.00047054397094597984,0.0004705439709459799,1e-05,1.0
0.011421,0.5710500000000001,0.0,0.0,1000556.0982957637,10.005560982957638,473.15,0.1,2.262623572347802,0.23,0.023240822720239387,0.013353381740822125,2.3012790260802563,0.71,0.017438765376943464,0.010305327213025774,7.103948297899922,0.06,0.2085348313558273,1.9288841506506327,0.6003336589774582,1.0
0.011421,0.5710500000000001,0.025,0.025,1000542.0739422092,10.005420739422092,474.8314243028014,0.09524203132602971,2.1390924782800704,0.24401232444420953,0.023461708737923,0.021071599842319693,2.4414459716686867,0.7505997091057347,0.017606902281272867,0.016204444537855522,7.510065896490707,0.005387966450055866,0.04321742397658501,0.417204119134537,0.053908871262699394,1.0
0.011421,0.5710500000000001,0.05,0.05,1000528.1983419392,10.005281983419392,473.31579851312284,0.09446239816792541,2.138193280888067,0.24580960506919997,0.0235134746521367,0.02296990193702008,2.459394412950303,0.7539365160655007,0.017644554429758392,0.017613070729973937,7.54334744083214,0.0002538788652994351,0.004192371812493954,0.039190938957313355,0.0025401296369513974,1.0000000000000002
0.011421,0.5710500000000001,0.075,0.075,1000514.3274577977,10.005143274577977,473.15820914209456,0.09440465033008369,2.1415619861254886,0.24635826743629763,0.023519677461373394,0.023191102058156568,2.4648497625769563,0.7536343850131799,0.017647461914777892,0.017735970583873353,7.540219998705328,7.347550522575488e-06,0.0006359668371628389,0.0023205645456736814,7.351329569556806e-05,1.0000000000000002
0.011421,0.5710500000000001,0.1,0.1,1000500.4522672801,10.0050045226728,473.1501714370089,0.09439893691460159,2.1445074131959667,0.24680633552027453,0.023521427504878265,0.02324086527877668,2.4692985031046475,0.7531925403986905,0.017647197721960894,0.01773135839836205,7.535694773132316,1.1240810351097368e-06,0.0004744102000730543,0.0005169643944293963,1.124643584012364e-05,1.0000000000000002
0.011421,0.5710500000000001,0.125,0.125,1000486.5728692327,10.004865728692327,473.1499517005932,0.09439540499518523,2.147174280730729,0.2472141136030639,0.023522784564043716,0.023278725081070956,2.4733440128363458,0.7527848845904563,0.017646838268452057,0.017721351056946468,7.531511692916666,1.0018064800279064e-06,0.00047061911292769907,0.0004714555479761385,1.0022939318813096e-05,1.0000000000000002
0.011421,0.5710500000000001,0.15,0.15,1000472.6896817299,10.0047268968173,473.14996295160256,0.09439200085031267,2.1495995417756584,0.24758545030919282,0.023523956821397334,0.02331298374418086,2.4770248139690043,0.7524135502227336,0.017646522570062873,0.017712071573004615,7.527692083443177,9.994680739546733e-07,0.00047054553983804265,0.0004705619849997452,9.999405122004501e-06,1.0000000000000002
0.011421,0.5710500000000001,0.175,0.175,1000458.8031029331,10.00458803102933,473.14997533686136,0.09438867553205621,2.1517990809508474,0.24792265693640997,0.023524965266186252,0.02334406003151005,2.4803640462069985,0.7520763436090219,0.01764624968129298,0.017703621293061852,7.524213985691123,9.994545685821391e-07,0.0004705440526132756,0.0004705445874859132,9.999131214394453e-06,1.0000000000000004
0.011421,0.5710500000000001,0.2,0.2,1000444.9135031465,10.004449135031464,473.14998580920997,0.09438543536179844,2.153787434135242,0.24822792978091193,0.023525825375155705,0.02337216275172631,2.483383697387296,0.7517710707346265,0.01764601563974504,0.01769594967894742,7.521055438352713,9.994844620957004e-07,0.00047054402055267245,0.0004705442409530713,9.999291462290721e-06,1.0000000000000004
0.011421,0.5710500000000001,0.225,0.225,1000431.021225811,10.00431021225811,473.14999469084177,0.09438228707772285,2.1555785557914455,0.24850337834800548,0.02352655152878683,0.023397488655297498,2.4861048857875923,0.7514956221385068,0.017645816681231025,0.017689005286749028,7.518195327027526,9.995134882273573e-07,0.00047054401856992103,0.00047054422736918195,9.999442997562678e-06,1.0000000000000007
0.011421,0.5710500000000001,0.25,0.25,1000417.1265886396,10.004171265886395,473.15000209899864,0.09437923693930853,2.1571858328089446,0.24875102625245812,0.023527157139756408,0.023420226368752566,2.488547869194594,0.7512479742066449,0.01764564929315008,0.017682738720773968,7.515613397113482,9.995408976024451e-07,0.0004705440171553741,0.0004705442198022293,9.999578326872679e-06,1.0000000000000007
0.011421,0.5710500000000001,0.275,0.275,1000403.2298847385,10.004032298847385,473.1500081719471,0.09437629078607324,2.158622086918295,0.24897281175737043,0.023527654694757396,0.02344055652639208,2.490732050355584,0.7510261886758434,0.0176455102053561,0.0176771026765895,7.513290248793387,9.995667869025813e-07,0.00047054401567154044,0.0004705442118317365,9.999698421028524e-06,1.0000000000000007
0.011421,0.5710500000000001,0.3,0.3,1000389.3313837162,10.003893313837162,473.15001305088333,0.09437345405163952,2.159899579422697,0.24917058847164913,0.02352805579424725,0.02345865184267247,2.492675984016402,0.7508284119370869,0.01764539637978834,0.017672051923598987,7.5112073300164,9.99591264665451e-07,0.00047054401411235336,0.00047054420336832125,9.99980436915674e-06,1.0000000000000007
0.011421,0.5710500000000001,0.325,0.325,1000375.4313327793,10.003754313327793,473.1500168687108,0.09437073177912683,2.161030016985548,0.24934612621148464,0.023528371191820212,0.023474677197795085,2.4943973855997164,0.7506528741740812,0.01764530500016224,0.017667543282673656,7.5093469278308715,9.996144348555714e-07,0.0004705440124858745,0.0004705441944479632,9.99989721435115e-06,1.0000000000000007
0.011421,0.5710500000000001,0.35,0.35,1000361.5299578105,10.003615299578104,473.1500197485603,0.09436812863832847,2.1620245584204065,0.24950111202023406,0.023528610833162007,0.02348878973743595,2.495913141467364,0.7504978883433702,0.017645233461768644,0.01766353560005124,7.5076921581328,9.996363965917555e-07,0.0004705440107999006,0.00047054418510728355,9.99997795096041e-06,1.0000000000000009
0.011421,0.5710500000000001,0.375,0.375,1000347.6274644309,10.003476274644308,473.1500218040534,0.09436564894304708,2.1628938224754517,0.2496371513400313,0.023528783894510987,0.02350113898606918,2.4972393206997943,0.7503618490027254,0.01764517936140222,0.017659989717673383,7.5062269538969995,9.996572442080328e-07,0.00047054400906163413,0.0004705441753810131,1.0000047525211369e-05,1.0000000000000009
0.011421,0.5710500000000001,0.4,0.4,1000333.7240390409,10.003337240390408,473.1500231397542,0.0943632966682459,2.163647896570098,0.2497557693276678,0.02352889882055223,0.02351186697323497,2.498391188317816,0.7502432309952659,0.017645140487438243,0.017656868440132343,7.5049360519657675,9.996770673298067e-07,0.00047054400727770333,0.0004705441653019838,1.0000106835984528e-05,1.000000000000001
0.011421,0.5710500000000001,0.425,0.425,1000319.819849841,10.00319819849841,473.1500238516292,0.0943610754669473,2.1642963464308025,0.24985841230662184,0.02352896336167534,0.023521108372038788,2.4993832198652726,0.7501405879974282,0.017645114810076024,0.01765413649841398,7.503804978476411,9.996959509582273e-07,0.00047054400545419145,0.00047054415490117634,1.0000156735671494e-05,1.000000000000001
0.011421,0.5710500000000001,0.45,0.45,1000305.9150478282,10.003059150478283,473.15002402750036,0.09435898868684514,2.164848226568695,0.24994644934655957,0.023528984610531066,0.023528990649114175,2.500229117265659,0.7500525509394659,0.017645100471765842,0.017651760510637802,7.502820033014603,9.997139755621179e-07,0.0004705440035966654,0.0004705441442077714,1.0000198031107664e-05,1.000000000000001
0.011421,0.5710500000000001,0.475,0.475,1000292.0097677702,10.002920097677702,473.15002374748826,0.09435703938660109,2.165312091538591,0.25002117396117574,0.023528969037826662,0.023535634225237204,2.500941825861218,0.7499778263076082,0.017645095777835247,0.01764970894000691,7.501968271585012,9.997312171769234e-07,0.0004705440017102036,0.0004705441332492017,1.0000231484574838e-05,1.000000000000001
0.011421,0.5710500000000001,0.5,0.5,1000278.1041291532,10.002781041291533,473.15002308444485,0.09435523035179832,2.165696007916593,0.2500838059148872,0.023528922527304784,0.023541152645745137,2.5015335525394655,0.7499151943373665,0.017645099187329052,0.017647952050189764,7.501237488494265,9.99747747510107e-07,0.00047054399979942367,0.00047054412205120545,1.0000257814868012e-05,1.0000000000000013
